ID,Subfamily
3300010885 Ga0133913 10010890,5
3300001687 WOR8 10002702,5
3300006916 Ga0070750 10000267,5
3300005582 Ga0049080 10000091,5
3300005613 Ga0074649 1001776,5
3300010885 Ga0133913 10044899,5
3300009154 Ga0114963 10001463,5
3300010885 Ga0133913 10013167,5
3300002092 JGI24218J26658 1000290,5
3300006114 Ga0007815 1000154,5
3300009182 Ga0114959 10001102,5
3300006100 Ga0007806 1000231,5
3300006103 Ga0007813 1000158,5
3300013094 Ga0164297 10001420,5
3300009182 Ga0114959 10002038,5
3300009154 Ga0114963 10000587,5
YSLV6,5
3300010885 Ga0133913 10011382,5
3300004770 Ga0007804 1000288,5
3300002307 JGI24890J29729 1000451,5
3300006119 Ga0007866 1000399,5
3300010885 Ga0133913 10013708,5
3300010885 Ga0133913 10040671,5
4764 contig 10001349 14707,5
3300010885 Ga0133913 10008287,5
YSLV4,5
3300004807 Ga0007809 10000678,6
3300013094 Ga0164297 10004528,6
3300010885 Ga0133913 10006691,6
3300009164 Ga0114975 10000616,6
3300009183 Ga0114974 10000724,6
3300009419 Ga0114982 1000775,6
3300002307 JGI24890J29729 1000712,6
3300002307 JGI24890J29729 1000626,6
3300006118 Ga0007859 1000217,6
3300009155 Ga0114968 10000753,6
3300010158 Ga0114960 10000746,6
3300009151 Ga0114962 10000711,6
3300010158 Ga0114960 10000582,6
3300004807 Ga0007809 10000095,6
3300010157 Ga0114964 10000599,6
3300006071 Ga0007876 1000165,6
3300013286 Ga0136641 1000158,6
3300009183 Ga0114974 10000564,6
3300010160 Ga0114967 10000584,6
3300013285 Ga0136642 1000288,6
3300010885 Ga0133913 10008686,6
3300013286 Ga0136641 1000185,6
3300009164 Ga0114975 10000387,6
3300010885 Ga0133913 10005368,6
3300010157 Ga0114964 10000508,6
3300009164 Ga0114975 10000427,6
3300010885 Ga0133913 10005353,6
Bnatans 2,6
3300009413 Ga0114902 1000298,6
3300010885 Ga0133913 10008183,6
3300010885 Ga0133913 10008424,6
3300002307 JGI24890J29729 1000225,6
3300009160 Ga0114981 10000712,6
3300010885 Ga0133913 10013028,6
3300010885 Ga0133913 10011474,6
3300009151 Ga0114962 10003684,6
3300006875 Ga0075473 10000931,6
3300010157 Ga0114964 10003108,6
3300009068 Ga0114973 10001071,6
3300006117 Ga0007818 1000137,6
3300006127 Ga0007805 1000719,6
4765 TBL comb48 EPIDRAFT 1001087,6
3300003375 JGI26470J50227 1000268,6
4762 TBL comb47 HYPODRAFT 10002729,6
3300009164 Ga0114975 10001152,6
3300010334 Ga0136644 10001697,6
3300010885 Ga0133913 10011015,6
3300013093 Ga0164296 1003191,6
3300010885 Ga0133913 10017077,6
3300010885 Ga0133913 10025220,6
3300010885 Ga0133913 10012256,6
3300005805 Ga0079957 1002161,6
3300007516 Ga0105050 10007389,6
3300006109 Ga0007870 1000379,6
3300006122 Ga0007837 1000084,6
3300013093 Ga0164296 1002074,6
3300010158 Ga0114960 10000772,6
3300010885 Ga0133913 10009524,6
3300009068 Ga0114973 10000749,6
3300009068 Ga0114973 10000639,6
3300009164 Ga0114975 10002759,6
3300009151 Ga0114962 10000818,6
3300009158 Ga0114977 10001724,6
3300010885 Ga0133913 10007194,6
3300002092 JGI24218J26658 1000335,6
3300003785 Ga0007851 100001,6
3300002091 JGI24028J26656 1000154,6
3300006111 Ga0007848 1000345,6
4765 TBL comb48 EPIDRAFT 1000887,6
3300010885 Ga0133913 10012518,6
3300009181 Ga0114969 10000735,6
3300010885 Ga0133913 10023783,6
3300006119 Ga0007866 1000143,6
3300009151 Ga0114962 10000842,6
3300010885 Ga0133913 10009174,6
3300002091 JGI24028J26656 1000152,6
3300010885 Ga0133913 10007866,6
3300009068 Ga0114973 10000565,6
3300010157 Ga0114964 10000624,6
YSLV5,6
3300010157 Ga0114964 10002903,6
3300010885 Ga0133913 10008696,6
3300009684 Ga0114958 10000782,6
3300010885 Ga0133913 10039588,6
3300010885 Ga0133913 10008705,6
3300010885 Ga0133913 10031394,6
3300009159 Ga0114978 10000739,6
3300009164 Ga0114975 10001466,6
3300010885 Ga0133913 10019370,6
3300010885 Ga0133913 10016501,6
3300009158 Ga0114977 10000780,6
3300009164 Ga0114975 10001038,6
3300010885 Ga0133913 10006257,6
3300009151 Ga0114962 10002859,6
3300009151 Ga0114962 10000779,6
3300009151 Ga0114962 10000344,7
3300006071 Ga0007876 1000258,7
3300007609 Ga0102945 1000484,8
3300007074 Ga0075110 1001402,8
3300007541 Ga0099848 1000347,8
3300009548 Ga0116107 1001592,9
3300009618 Ga0116127 1001084,9
4765 TBL comb48 EPIDRAFT 1001871,9
3300005119 Ga0070420 1191,9
3300005939 Ga0075123 10001120,9
3300012147 Ga0136588 1000554,9
3300005581 Ga0049081 10000427,9
3300006802 Ga0070749 10001201,9
3300006802 Ga0070749 10001496,9
3300010885 Ga0133913 10044996,9
3300010396 Ga0134126 10007836,9
3300006358 Ga0068871 100001277,9
3300014654 Ga0181525 10003147,9
3300005512 Ga0074648 1005201,9
3300002466 JGI10211J34971 10003389,9
3300005512 Ga0074648 1003932,9
3300014204 Ga0172381 10002270,9
3300003852 Ga0031655 10001695,9
3300009618 Ga0116127 1001311,9
3300005590 Ga0070727 10004000,9
3300007633 Ga0102940 1002147,9
3300010430 Ga0118733 100031587,9
3300010885 Ga0133913 10046438,9
3300005534 Ga0070735 10004409,9
3300010158 Ga0114960 10001476,9
3300014654 Ga0181525 10003086,9
3300005534 Ga0070735 10005036,9
3300009157 Ga0105092 10001347,9
3300012533 Ga0138256 10005174,9
3300010885 Ga0133913 10013256,9
3300006104 Ga0007882 10001075,9
3300014499 Ga0182012 10004034,9
3300005581 Ga0049081 10000462,9
3300014205 Ga0172380 10008076,9
3300009070 Ga0066256 1001637,9
3300009070 Ga0066256 1002141,9
3300009070 Ga0066256 1003444,9
3300005663 Ga0073582 101521,9
3300005529 Ga0070741 10016518,9
3300009545 Ga0105237 10003663,9
3300009618 Ga0116127 1001795,9
Sputnik,9
Zamilon,9
3300009547 Ga0116136 1000934,9
3300010373 Ga0134128 10002422,9
3300009548 Ga0116107 1001113,9
3300009711 Ga0116166 1004262,9
3300009500 Ga0116229 10007006,9
3300000090 WSSedB1C c10000817,9
4764 contig 1002202 23012,9
3300002835 B570J40625 100005780,9
3300014492 Ga0182013 10004328,9
3300014493 Ga0182016 10003510,9
3300001097 JGIcombinedJ13537 10000434,9
3300009760 Ga0116131 1001150,9
3300014492 Ga0182013 10004507,9
3300009091 Ga0102851 10000522,9
3300009091 Ga0102851 10002208,9
3300009111 Ga0115026 10000109,9
3300003432 JGI20214J51088 10000979,9
3300005541 Ga0070733 10002713,9
3300005712 Ga0070764 10000374,9
3300010371 Ga0134125 10003999,9
3300012209 Ga0137379 10002461,9
3300006802 Ga0070749 10000779,10
3300007276 Ga0070747 1000780,10
3300012984 Ga0164309 10001308,10
3300010885 Ga0133913 10048399,10
3300006920 Ga0070748 1000325,10
3300007344 Ga0070745 1002316,10
3300006919 Ga0070746 10001925,10
3300007541 Ga0099848 1001120,10
3300006802 Ga0070749 10000650,10
3300007541 Ga0099848 1000221,10
3300007538 Ga0099851 1000248,10
3300005613 Ga0074649 1002571,10
3300007538 Ga0099851 1001009,10
3300005613 Ga0074649 1003928,10
3300007542 Ga0099846 1001258,10
3300010885 Ga0133913 10012712,11
3300009184 Ga0114976 10001631,12
3300010354 Ga0129333 10001104,12
3300006127 Ga0007805 1000725,12
3300010885 Ga0133913 10055753,12
3300009181 Ga0114969 10000987,13
3300009184 Ga0114976 10001069,13
3300000553 TBL comb47 HYPODRAFT 10007071,13
3300010885 Ga0133913 10029435,13
3300010885 Ga0133913 10039029,13
3300009154 Ga0114963 10000410,13
3300010885 Ga0133913 10017273,13
3300013093 Ga0164296 1003181,13
3300014819 Ga0119954 1000767,13
3300014050 Ga0119952 1000747,13
3300010885 Ga0133913 10011061,13
3300005437 Ga0070710 10000143,14
3300012984 Ga0164309 10000286,15
3300010396 Ga0134126 10005042,16
4762 TBL comb47 HYPODRAFT 10002641,16
3300009151 Ga0114962 10001373,16
3300009184 Ga0114976 10002882,16
3300010885 Ga0133913 10032404,16
3300010885 Ga0133913 10028904,16
3300002307 JGI24890J29729 1000627,16
3300010885 Ga0133913 10016429,16
3300010885 Ga0133913 10011865,16
3300010885 Ga0133913 10013406,16
4764 contig 2001693 21809,16
3300002835 B570J40625 100006411,16
3300010157 Ga0114964 10002347,16
3300009154 Ga0114963 10000678,16
3300010885 Ga0133913 10034462,16
3300010885 Ga0133913 10060220,16
3300010885 Ga0133913 10040382,16
3300013094 Ga0164297 10004830,16
3300009085 Ga0105103 10000772,17
3300003852 Ga0031655 10000867,17
3300009085 Ga0105103 10000524,17
3300001605 Draft 10001555,17
3300005861 Ga0080006 1175989,17
3300005861 Ga0080006 1218239,17
3300010885 Ga0133913 10058331,18
3300006128 Ga0007828 1000470,19
3300010885 Ga0133913 10012254,20
SRS475626 k119 215568,21
3300009690 Ga0116143 10003940,22
3300009781 Ga0116178 10003357,22
SRS476076 k119 199462,23
AUXO014937588 1,24
2061766007 rumenHiSeq NODE 1785693 len 12238 cov 9 187858,24
2061766007 rumenHiSeq NODE 4331347 len 22405 cov 0 883553,24
2061766007 rumenHiSeq NODE 3553059 len 27487 cov 0 981810,24
2061766007 rumenHiSeq NODE 2232599 len 27724 cov 4 336964,24
AUXO017923253 1,24
ERS396424 k79 177141,25
SRS475566 k119 48017,26
SRS476271 k119 132073,26
