ID,Subfamily
3300009154 Ga0114963 10000572,4
3300012270 Ga0136604 1000462,4
3300005527 Ga0068876 10000772,4
4764 contig 2320000189 21805,4
4764 contig 2367002401 29610,4
3300002835 B570J40625 100003451,4
3300010885 Ga0133913 10009135,4
3300010885 Ga0133913 10010443,4
3300010885 Ga0133913 10016225,4
3300010158 Ga0114960 10002393,4
3300009161 Ga0114966 10001014,4
3300009154 Ga0114963 10002531,4
3300010334 Ga0136644 10000572,4
3300013094 Ga0164297 10003112,4
3300012128 Ga0136582 1000547,4
OLV,4
3300002307 JGI24890J29729 1000652,4
3300010885 Ga0133913 10014576,4
3300013132 Ga0172372 10003608,4
3300013099 Ga0164315 10002992,4
3300014818 Ga0134300 1003182,4
3300007540 Ga0099847 1000087,4
QLV,4
3300009419 Ga0114982 1001210,4
3300010885 Ga0133913 10015411,4
3300013014 Ga0164295 10000960,4
YSLV1,4
3300010885 Ga0133913 10009566,4
3300010885 Ga0133913 10010149,4
3300010883 Ga0133547 10022499,4
3300007540 Ga0099847 1000701,4
3300007345 Ga0070752 1001124,4
3300005613 Ga0074649 1001593,4
3300007540 Ga0099847 1000567,4
3300009154 Ga0114963 10000931,4
3300003820 Ga0007863 1000046,4
3300009151 Ga0114962 10001578,4
3300010885 Ga0133913 10009934,4
3300013004 Ga0164293 10000722,4
3300009159 Ga0114978 10000595,4
3300010885 Ga0133913 10009803,4
3300010885 Ga0133913 10010890,4
3300001687 WOR8 10002702,4
3300006916 Ga0070750 10000267,4
3300005582 Ga0049080 10000091,4
3300005613 Ga0074649 1001776,4
3300010885 Ga0133913 10044899,4
3300009154 Ga0114963 10001463,4
3300010885 Ga0133913 10013167,4
3300002092 JGI24218J26658 1000290,4
3300006114 Ga0007815 1000154,4
3300009182 Ga0114959 10001102,4
3300006100 Ga0007806 1000231,4
3300006103 Ga0007813 1000158,4
3300013094 Ga0164297 10001420,4
3300009182 Ga0114959 10002038,4
3300009154 Ga0114963 10000587,4
YSLV6,4
3300010885 Ga0133913 10011382,4
3300004770 Ga0007804 1000288,4
3300002307 JGI24890J29729 1000451,4
3300006119 Ga0007866 1000399,4
3300010885 Ga0133913 10013708,4
3300010885 Ga0133913 10040671,4
4764 contig 10001349 14707,4
3300010885 Ga0133913 10008287,4
YSLV4,4
3300004807 Ga0007809 10000678,5
3300013094 Ga0164297 10004528,5
3300010885 Ga0133913 10006691,5
3300009164 Ga0114975 10000616,5
3300009183 Ga0114974 10000724,5
3300009419 Ga0114982 1000775,5
3300002307 JGI24890J29729 1000712,5
3300002307 JGI24890J29729 1000626,5
3300006118 Ga0007859 1000217,5
3300009155 Ga0114968 10000753,5
3300010158 Ga0114960 10000746,5
3300009151 Ga0114962 10000711,5
3300010158 Ga0114960 10000582,5
3300004807 Ga0007809 10000095,5
3300010157 Ga0114964 10000599,5
3300006071 Ga0007876 1000165,5
3300013286 Ga0136641 1000158,5
3300009183 Ga0114974 10000564,5
3300010160 Ga0114967 10000584,5
3300013285 Ga0136642 1000288,5
3300010885 Ga0133913 10008686,5
3300013286 Ga0136641 1000185,5
3300009164 Ga0114975 10000387,5
3300010885 Ga0133913 10005368,5
3300010157 Ga0114964 10000508,5
3300009164 Ga0114975 10000427,5
3300010885 Ga0133913 10005353,5
Bnatans 2,5
3300009413 Ga0114902 1000298,5
3300010885 Ga0133913 10008183,5
3300010885 Ga0133913 10008424,5
3300002307 JGI24890J29729 1000225,5
3300009160 Ga0114981 10000712,5
3300010885 Ga0133913 10013028,5
3300010885 Ga0133913 10011474,5
3300009151 Ga0114962 10003684,5
3300006875 Ga0075473 10000931,5
3300010157 Ga0114964 10003108,5
3300009068 Ga0114973 10001071,5
3300006117 Ga0007818 1000137,5
3300006127 Ga0007805 1000719,5
4765 TBL comb48 EPIDRAFT 1001087,5
3300003375 JGI26470J50227 1000268,5
4762 TBL comb47 HYPODRAFT 10002729,5
3300009164 Ga0114975 10001152,5
3300010334 Ga0136644 10001697,5
3300010885 Ga0133913 10011015,5
3300013093 Ga0164296 1003191,5
3300010885 Ga0133913 10017077,5
3300010885 Ga0133913 10025220,5
3300010885 Ga0133913 10012256,5
3300005805 Ga0079957 1002161,5
3300007516 Ga0105050 10007389,5
3300006109 Ga0007870 1000379,5
3300006122 Ga0007837 1000084,5
3300013093 Ga0164296 1002074,5
3300010158 Ga0114960 10000772,5
3300010885 Ga0133913 10009524,5
3300009068 Ga0114973 10000749,5
3300009068 Ga0114973 10000639,5
3300009164 Ga0114975 10002759,5
3300009151 Ga0114962 10000818,5
3300009158 Ga0114977 10001724,5
3300010885 Ga0133913 10007194,5
3300002092 JGI24218J26658 1000335,5
3300003785 Ga0007851 100001,5
3300002091 JGI24028J26656 1000154,5
3300006111 Ga0007848 1000345,5
4765 TBL comb48 EPIDRAFT 1000887,5
3300010885 Ga0133913 10012518,5
3300009181 Ga0114969 10000735,5
3300010885 Ga0133913 10023783,5
3300006119 Ga0007866 1000143,5
3300009151 Ga0114962 10000842,5
3300010885 Ga0133913 10009174,5
3300002091 JGI24028J26656 1000152,5
3300010885 Ga0133913 10007866,5
3300009068 Ga0114973 10000565,5
3300010157 Ga0114964 10000624,5
YSLV5,5
3300010157 Ga0114964 10002903,5
3300010885 Ga0133913 10008696,5
3300009684 Ga0114958 10000782,5
3300010885 Ga0133913 10039588,5
3300010885 Ga0133913 10008705,5
3300010885 Ga0133913 10031394,5
3300009159 Ga0114978 10000739,5
3300009164 Ga0114975 10001466,5
3300010885 Ga0133913 10019370,5
3300010885 Ga0133913 10016501,5
3300009158 Ga0114977 10000780,5
3300009164 Ga0114975 10001038,5
3300010885 Ga0133913 10006257,5
3300009151 Ga0114962 10002859,5
3300009151 Ga0114962 10000779,5
3300009151 Ga0114962 10000344,6
3300006071 Ga0007876 1000258,6
3300007609 Ga0102945 1000484,7
3300007074 Ga0075110 1001402,7
3300007541 Ga0099848 1000347,7
3300009548 Ga0116107 1001592,8
3300009618 Ga0116127 1001084,8
4765 TBL comb48 EPIDRAFT 1001871,8
3300005119 Ga0070420 1191,8
3300005939 Ga0075123 10001120,8
3300012147 Ga0136588 1000554,8
3300005581 Ga0049081 10000427,8
3300006802 Ga0070749 10001201,8
3300006802 Ga0070749 10001496,8
3300010885 Ga0133913 10044996,8
3300010396 Ga0134126 10007836,8
3300006358 Ga0068871 100001277,8
3300014654 Ga0181525 10003147,8
3300005512 Ga0074648 1005201,8
3300002466 JGI10211J34971 10003389,8
3300005512 Ga0074648 1003932,8
3300014204 Ga0172381 10002270,8
3300003852 Ga0031655 10001695,8
3300009618 Ga0116127 1001311,8
3300005590 Ga0070727 10004000,8
3300007633 Ga0102940 1002147,8
3300010430 Ga0118733 100031587,8
3300010885 Ga0133913 10046438,8
3300005534 Ga0070735 10004409,8
3300010158 Ga0114960 10001476,8
3300014654 Ga0181525 10003086,8
3300005534 Ga0070735 10005036,8
3300009157 Ga0105092 10001347,8
3300012533 Ga0138256 10005174,8
3300010885 Ga0133913 10013256,8
3300006104 Ga0007882 10001075,8
3300014499 Ga0182012 10004034,8
3300005581 Ga0049081 10000462,8
3300014205 Ga0172380 10008076,8
3300009070 Ga0066256 1001637,8
3300009070 Ga0066256 1002141,8
3300009070 Ga0066256 1003444,8
3300005663 Ga0073582 101521,8
3300005529 Ga0070741 10016518,8
3300009545 Ga0105237 10003663,8
3300009618 Ga0116127 1001795,8
Sputnik,8
Zamilon,8
3300009547 Ga0116136 1000934,8
3300010373 Ga0134128 10002422,8
3300009548 Ga0116107 1001113,8
3300009711 Ga0116166 1004262,8
3300009500 Ga0116229 10007006,8
3300000090 WSSedB1C c10000817,8
4764 contig 1002202 23012,8
3300002835 B570J40625 100005780,8
3300014492 Ga0182013 10004328,8
3300014493 Ga0182016 10003510,8
3300001097 JGIcombinedJ13537 10000434,8
3300009760 Ga0116131 1001150,8
3300014492 Ga0182013 10004507,8
3300009091 Ga0102851 10000522,8
3300009091 Ga0102851 10002208,8
3300009111 Ga0115026 10000109,8
3300003432 JGI20214J51088 10000979,8
3300005541 Ga0070733 10002713,8
3300005712 Ga0070764 10000374,8
3300010371 Ga0134125 10003999,8
3300012209 Ga0137379 10002461,8
3300006802 Ga0070749 10000779,9
3300007276 Ga0070747 1000780,9
3300012984 Ga0164309 10001308,9
3300010885 Ga0133913 10048399,9
3300006920 Ga0070748 1000325,9
3300007344 Ga0070745 1002316,9
3300006919 Ga0070746 10001925,9
3300007541 Ga0099848 1001120,9
3300006802 Ga0070749 10000650,9
3300007541 Ga0099848 1000221,9
3300007538 Ga0099851 1000248,9
3300005613 Ga0074649 1002571,9
3300007538 Ga0099851 1001009,9
3300005613 Ga0074649 1003928,9
3300007542 Ga0099846 1001258,9
3300010885 Ga0133913 10012712,10
3300009184 Ga0114976 10001631,11
3300010354 Ga0129333 10001104,11
3300006127 Ga0007805 1000725,11
3300010885 Ga0133913 10055753,11
3300009181 Ga0114969 10000987,12
3300009184 Ga0114976 10001069,12
3300000553 TBL comb47 HYPODRAFT 10007071,12
3300010885 Ga0133913 10029435,12
3300010885 Ga0133913 10039029,12
3300009154 Ga0114963 10000410,12
3300010885 Ga0133913 10017273,12
3300013093 Ga0164296 1003181,12
3300014819 Ga0119954 1000767,12
3300014050 Ga0119952 1000747,12
3300010885 Ga0133913 10011061,12
3300005437 Ga0070710 10000143,13
3300012984 Ga0164309 10000286,14
3300010396 Ga0134126 10005042,15
4762 TBL comb47 HYPODRAFT 10002641,15
3300009151 Ga0114962 10001373,15
3300009184 Ga0114976 10002882,15
3300010885 Ga0133913 10032404,15
3300010885 Ga0133913 10028904,15
3300002307 JGI24890J29729 1000627,15
3300010885 Ga0133913 10016429,15
3300010885 Ga0133913 10011865,15
3300010885 Ga0133913 10013406,15
4764 contig 2001693 21809,15
3300002835 B570J40625 100006411,15
3300010157 Ga0114964 10002347,15
3300009154 Ga0114963 10000678,15
3300010885 Ga0133913 10034462,15
3300010885 Ga0133913 10060220,15
3300010885 Ga0133913 10040382,15
3300013094 Ga0164297 10004830,15
3300009085 Ga0105103 10000772,16
3300003852 Ga0031655 10000867,16
3300009085 Ga0105103 10000524,16
3300001605 Draft 10001555,16
3300005861 Ga0080006 1175989,16
3300005861 Ga0080006 1218239,16
3300010885 Ga0133913 10058331,17
3300006128 Ga0007828 1000470,18
3300010885 Ga0133913 10012254,19
SRS475626 k119 215568,20
3300009690 Ga0116143 10003940,20
3300009781 Ga0116178 10003357,20
SRS476076 k119 199462,21
AUXO014937588 1,22
2061766007 rumenHiSeq NODE 1785693 len 12238 cov 9 187858,22
2061766007 rumenHiSeq NODE 4331347 len 22405 cov 0 883553,22
2061766007 rumenHiSeq NODE 3553059 len 27487 cov 0 981810,22
2061766007 rumenHiSeq NODE 2232599 len 27724 cov 4 336964,22
AUXO017923253 1,22
ERS396424 k79 177141,23
SRS475566 k119 48017,24
SRS476271 k119 132073,24
